analystName,analystCompany,publisher,skill_score,accuracy,avg_error,breadth,total_predictions,diversity
Jeffrey Bernstein,Bernstein,StreetInsider,0.9049865251412167,0.047630869744274565,20.994787736795512,19,19,13
Walter Spracklin,RBC Capital,StreetInsider,0.9010853724517867,0.09010853724517867,11.097727591327711,10,10,7
Ken Goldman,J.P. Morgan,Benzinga,0.8998570608641404,0.1285510086948772,7.779013250479849,7,7,5
Nigel Coe,Wolfe Research,TheFly,0.8992267628020092,0.047327724358000485,21.129264370196907,19,19,15
David Togut,Evercore ISI,StreetInsider,0.898844506222623,0.040856568464664685,24.475868570921772,22,22,12
Benjamin Swinburne,Morgan Stanley,TheFly,0.8986365389457055,0.021396108070135846,46.73747191414569,42,42,18
Ebrahim Poonawala,New Street,Benzinga,0.8982650604407442,0.05614156627754651,17.812114379857338,16,16,15
Chris Dankert,Loop Capital Markets,StreetInsider,0.8967070598653849,0.056044191241586556,17.843062373571527,16,16,12
Sarah Akers,Wells Fargo,StreetInsider,0.893997561081227,0.07449979675676892,13.422855410798713,12,12,11
Korinne Wolfmeyer,Piper Sandler,TheFly,0.8913441519547889,0.035653766078191554,28.04752793314794,25,25,12
Ben Chaiken,Mizuho Securities,StreetInsider,0.8901987189844501,0.04239041518973572,23.590238395261974,21,21,15
Andrew Jeffrey,Truist Financial,Benzinga,0.8884244968878439,0.05552653105549024,18.009408853592053,16,16,14
Finian O'Shea,Wells Fargo,StreetInsider,0.8877931320954418,0.1268275902993488,7.884719702075223,7,7,6
Gabe Hajde,Wells Fargo,StreetInsider,0.8867523536192413,0.06333945382994581,15.787947946074919,14,14,9
Larry Biegelsen,Wells Fargo,Pulse 2.0,0.885961091460292,0.03691504547751217,27.08922573613455,24,24,17
Keith Hughes,Truist Financial,Benzinga,0.8850180939125789,0.04657989967960942,21.46848762831825,19,19,14
Jackie Przybylowski,BMO Capital,TheFly,0.8822151463426544,0.0464323761232976,21.536696664942948,19,19,8
Chris Caso,Raymond James,StreetInsider,0.8813619779113059,0.035254479116452235,28.365190042854135,25,25,16
Michael Wiederhorn,Oppenheimer,StreetInsider,0.881110709188472,0.062936479227748,15.889036251635616,14,14,8
Andrew Nowinski,Wells Fargo,TheFly,0.8783434109781012,0.030287703826831075,33.01669897848534,29,29,16
Brian Harbour,Morgan Stanley,StreetInsider,0.8763711573273828,0.03983505260579013,25.10351900111831,22,22,15
Daniel Fannon,Jefferies,TheFly,0.875590129427857,0.06735308687906592,14.84712945370305,13,13,12
Kimberly Greenberger,Morgan Stanley,Benzinga,0.875210806801229,0.04167670508577281,23.994219263301847,21,21,16
David Katz,Jefferies,TheFly,0.8727122231340624,0.04155772491114583,24.06291494873914,21,21,16
Alan Gould,Loop Capital Markets,StreetInsider,0.8703544707633037,0.03481417883053215,28.723928973530654,25,25,13
Buck Horne,Raymond James,Pulse 2.0,0.8660780454117101,0.05094576737715942,19.628716014754374,17,17,11
Patrick Walravens,JMP Securities,Benzinga,0.8639965774798323,0.02541166404352448,39.35200773500013,34,34,20
John Hodulik,UBS,TheFly,0.863878508244007,0.04546728990757932,21.993833413706536,19,19,12
Duffy Fischer,Barclays,TipRanks Contributor,0.8619233573782954,0.06156595409844967,16.24274348775473,14,14,12
David Amsellem,Piper Sandler,StreetInsider,0.8616191125389439,0.03590079635578933,27.85453531697887,24,24,18
Elyse Greenspan,Wells Fargo,TheFly,0.861464184333462,0.12306631204763742,8.125700554128189,7,7,6
