symbol,environmentalScore,socialScore,governanceScore,ESGScore,cumulative_return
ALSA,74.97,68.53,69.32,70.94,0.06413730803974697
ALSAR,74.97,68.53,69.32,70.94,0.44284128745837964
ALSAU,74.97,68.53,69.32,70.94,0.04266666666666671
ALT,32.99,64.56,55.19,50.91,1.9746781115879828
ALSN,33.14,26.61,72.37,44.04,0.7387185669996555
ALTI,63.43,71.16,73.52,69.37,-0.4191176470588235
ALTM,74.6,74.95,63.02,70.86,-0.17339312406576982
ALTG,63.03,74.78,65.57,67.79,-0.4009302325581395
ALTO,57.61,55.09,51.77,54.82,-0.5696517412935322
ALTR,68.3,59.82,73.07,67.06,0.5487687879756956
ALUR,63.64,70.3,65.7,66.55,-0.8387782805429864
ALV,67.13,64.28,59.93,63.78,0.09310191859820335
ALVO,61.81,64.8,64.41,63.67,0.3954802259887006
ALVOW,61.81,64.8,64.41,63.67,0.424083769633508
ALVR,54.97,63.01,61.16,59.71,-0.512547770700637
ALX,80.94,53.68,68.43,67.68,0.30228072166118236
ALXO,57.99,59.82,56.66,58.16,-0.7900709219858156
ALZN,66.33,69.76,69.46,68.52,-0.9468503937007874
AM,68.98,68.29,66.35,67.87,0.197841726618705
AMAL,77.46,74.89,68.17,73.51,1.1274271844660195
AMBC,52.39,67.16,60.32,59.96,0.025170648464163815
AMBA,56.0,48.19,58.88,54.36,0.1606494023904382
AMBO,62.63,60.09,62.81,61.84,0.32867132867132864
AMBP,57.14,64.29,62.76,61.4,0.5294117647058822
AMC,66.38,72.42,73.62,70.81,-0.5422008547008547
AMCR,61.71,63.02,66.77,63.83,0.2981438515081207
AMAT,82.31,67.75,63.92,71.33,0.37822658632745665
AMCX,84.63,75.39,67.85,75.96,-0.3424550430023455
AMBI,44.89,58.38,63.37,55.55,0.14843750000000008
AMD,99.56,58.23,77.03,78.27,0.5308974609375
AME,46.12,48.05,64.34,52.84,0.17883745214061955
AMED,99.21,93.12,88.45,93.59,0.05283630470016208
AMG,49.55,60.02,55.4,54.99,0.5540378624490775
AMGN,62.56,55.34,62.54,60.15,0.14486813970064139
AMH,95.26,70.37,76.95,80.86,0.12967324109508394
AMJ,68.45,72.58,68.49,69.84,0.12390786338363785
AMKR,35.15,45.89,44.66,41.9,0.3566046099290781
AMLI,71.02,58.26,62.48,63.92,-0.2680701754385964
AMLX,41.15,39.07,45.76,41.99,-0.7570996978851964
AMN,54.25,58.47,61.63,58.12,-0.4416416689391873
AMP,50.0,55.63,64.63,56.75,0.6441296313844406
AMPG,61.07,68.77,59.82,63.22,-0.5191256830601093
AMPGW,61.07,68.77,59.82,63.22,-0.8675
AMPH,69.01,68.59,64.29,67.3,0.1226857015391479
AMPL,62.28,58.87,57.63,59.59,-0.1286266924564797
AMPS,77.05,71.68,75.2,74.64,-0.32034220532319385
AMPX,57.22,52.95,56.75,55.64,-0.615727002967359
AMPY,70.98,72.86,70.12,71.32,-0.1099726775956285
AMR,60.27,60.54,60.63,60.48,-0.06200017771459042
AMRC,88.59,84.73,80.57,84.63,-0.024976288333860234
AMRK,62.92,72.83,69.46,68.4,0.5042705842159207
AMRN,65.24,66.3,66.25,65.93,-0.22372881355932206
AMRX,64.16,72.76,66.44,67.79,1.3909348441926346
AMS,63.01,69.4,75.85,69.42,0.3250000000000001
AMSC,76.89,61.1,63.38,67.12,3.021381578947368
AMSF,50.0,45.34,61.13,52.16,-0.03876552502822737
AMST,59.06,65.88,66.27,63.74,0.020242914979757012
AMT,69.21,55.19,57.08,60.49,0.42005896004516086
AMTB,32.32,67.8,66.43,55.52,0.11299734748010604
AMTD,44.51,57.57,47.64,49.9,-0.6083888888888889
AMTX,67.58,62.91,63.54,64.68,-0.4085971943887776
AMWD,44.6,66.01,67.2,59.27,0.44236624619399745
AMWL,63.53,83.15,66.07,70.92,-0.45360890302066775
AMZN,60.13,64.25,52.89,59.09,0.47278037383177557
AMX,55.32,66.18,64.48,61.99,0.0468561064087063
AN,37.87,63.34,63.53,54.91,0.26619350018677623
ANAB,56.13,64.83,59.12,60.03,0.9820426487093153
ANDE,83.5,57.22,85.6,75.44,-0.04622256748883283
ANEB,54.27,62.96,62.12,59.78,-0.3711340206185567
ANET,46.84,44.25,59.64,50.24,1.1070085648631711
ANF,61.19,62.99,74.81,66.33,1.5956396307286518
ANGH,65.66,68.6,62.75,65.67,-0.19191919191919188
ANGHW,65.66,68.6,62.75,65.67,0.7751479289940829
ANGI,71.78,74.48,65.45,70.57,0.456896551724138
ANGO,96.56,80.59,76.86,84.67,-0.062222222222222213
ANIK,48.75,68.38,62.1,59.74,0.3218421052631578
ANIP,66.3,71.83,64.11,67.41,0.04344791484906639
ANIX,50.92,71.1,69.73,63.92,-0.056426332288401305
ANNX,55.67,58.11,61.35,58.38,3.4109195402298846
ANRO,60.88,65.53,61.2,62.54,-0.3159420289855072
ANSS,53.04,52.15,63.39,56.19,0.1429245942921097
ANTE,59.74,61.86,62.16,61.25,-0.6093684210526316
ANTX,55.25,62.14,60.27,59.22,-0.927147766323024
ANVS,48.3,62.81,74.82,61.98,-0.043478260869565064
ANY,53.09,69.46,73.39,65.31,-0.140495867768595
AOMR,79.39,77.73,78.02,78.38,0.225281602002503
AON,52.93,63.71,59.54,58.73,0.12120784756174005
AORT,55.07,61.71,62.69,59.82,1.1304006284367636
AOS,48.0,48.34,60.58,52.31,0.1711684823160722
AOUT,73.86,76.42,70.96,73.75,-0.00955414012738852
AOSL,54.5,62.53,64.6,60.54,0.42162364384586604
AP,74.67,72.01,69.71,72.13,-0.2579365079365079
APA,57.21,65.27,62.75,61.74,-0.42852193995381055
APAM,59.31,72.2,72.13,67.88,0.37123449497932665
APCX,79.36,70.24,65.59,71.73,-0.7444890510948905
APCXW,79.36,70.24,65.59,71.73,-0.5252628009494743
APD,68.63,75.11,75.84,73.19,0.1720002850931898
APDN,60.06,66.06,70.55,65.56,-0.9833178053830228
APEI,59.5,63.36,61.78,61.55,2.23059866962306
APG,63.13,66.69,62.54,64.12,0.33715415019762834
APGE,63.52,62.61,64.14,63.42,1.7441161742613922
APH,38.75,46.58,62.25,49.2,0.6632880098887515
API,83.14,90.73,78.33,84.07,-0.02405498281786951
APLD,62.36,71.9,64.2,66.15,0.5089820359281437
APLE,65.61,72.09,65.3,67.67,-0.044823232323232265
APLM,35.2,73.27,76.48,61.65,-0.9256353591160221
APLS,70.36,69.83,71.13,70.44,-0.3902122130792551
APLT,56.78,60.69,62.7,60.06,2.5555555555555562
APM,64.37,72.5,75.78,70.88,-0.11105820105820105
APO,70.78,70.74,71.03,70.85,0.7306308467258338
APOG,73.23,67.17,78.32,72.91,0.8475910693301998
APP,64.62,67.77,63.99,65.46,2.7563544369486253
APPF,50.0,69.09,80.0,66.36,0.08930803935424257
APPN,75.67,78.87,69.32,74.62,-0.2629542790152403
APPS,69.9,61.32,66.63,65.95,-0.3894052044609665
APRE,57.65,62.37,60.88,60.3,-0.09600000000000009
APT,58.49,65.46,65.11,63.02,0.44827586206896564
APTO,63.46,67.64,65.88,65.66,-0.8194907407407408
APTV,73.53,65.5,64.72,67.92,-0.20681440443213303
APVO,52.49,62.43,55.37,56.76,-0.989101717305152
APWC,58.42,63.39,61.16,60.99,0.3320967741935483
APXI,70.67,77.92,79.98,76.19,0.07181818181818174
APXIU,70.67,77.92,79.98,76.19,0.050000000000000065
APXIW,70.67,77.92,79.98,76.19,0.4301994301994303
APYX,69.55,56.77,59.22,61.85,-0.5340754716981132
AQB,78.91,70.23,62.39,70.51,-0.6802168021680216
AQN,80.22,73.18,74.34,75.91,0.0029126213592232386
AQMS,59.42,61.13,70.28,63.61,-0.8339479392624729
AQNB,78.68,77.37,74.0,76.68,0.07056367432150319
AQST,57.57,69.91,70.88,66.12,2.24223602484472
AQU,61.38,76.41,70.79,69.53,0.03675777568331768
AR,49.47,55.77,64.62,56.62,-0.07105077574047958
ARAY,58.34,59.18,60.3,59.27,-0.34229390681003585
ARBB,43.97,56.09,60.97,53.68,-0.7469465648854962
ARBE,50.0,30.99,46.7,42.56,0.004999999999999893
ARBEW,63.61,66.69,70.05,66.78,-0.14285714285714288
ARBK,66.19,74.79,76.41,72.46,0.23303284633716714
ARBKL,63.45,68.66,65.14,65.75,0.5130970724191063
ARC,52.61,72.4,66.39,63.8,0.16952054794520552
ARCB,64.04,70.52,69.09,67.88,0.11262177497056002
ARCC,83.64,84.37,88.28,85.43,0.1440274841437631
ARCH,50.58,50.93,61.18,54.23,-0.07765188834154345
ARCO,65.97,75.54,73.92,71.81,-0.006834910620399527
ARCT,69.06,70.63,61.56,67.08,0.01650485436893203
ARDX,40.03,62.74,57.86,53.54,0.615983493810179
ARE,65.08,58.76,60.68,61.5,0.2817778716216216
AREB,61.89,70.34,70.91,67.71,-0.36242696629213483
AREBW,61.89,70.34,70.91,67.71,0.3666666666666668
AREC,64.16,60.74,66.72,63.87,-0.34158940397350995
AREN,82.43,66.99,67.77,72.4,-0.805699481865285
ARES,68.24,69.98,73.16,70.46,0.6065823266432038
ARGD,41.89,48.28,51.27,47.15,0.054936649460347264
ARGO,53.87,36.37,59.62,49.95,0.005700871898054935
ARGX,60.79,65.29,63.5,63.19,0.14920489360371808
ARHS,60.8,66.62,65.35,64.26,0.033296943231441015
ARI,60.79,67.39,72.87,67.02,-0.07752341311134227
ARIS,72.55,74.43,68.87,71.95,0.8458049886621316
ARKO,61.33,70.89,74.61,68.94,-0.09921671018276759
ARKOW,61.33,70.89,74.61,68.94,-0.3795693540310466
ARKR,79.46,66.92,68.42,71.6,-0.23177083333333326
ARL,65.22,69.08,76.85,70.38,0.10132158590308377
ARLO,79.51,73.16,66.83,73.17,0.3414071510957325
ARLP,67.97,54.56,60.12,60.88,0.035240464344941866
ARM,49.51,80.88,73.43,67.94,2.070566948130277
ARMK,44.79,59.6,59.35,54.58,0.48637395912187736
ARMP,68.05,70.88,62.74,67.22,0.1994949494949495
AROC,74.34,66.07,69.56,69.99,0.6168224299065422
AROW,72.18,69.85,61.27,67.77,0.611597374179431
ARQ,56.11,78.3,66.67,67.03,2.1978021978021975
ARQQ,57.53,71.55,63.61,64.23,-0.41418563922942203
ARQQW,57.53,71.55,63.61,64.23,-0.42533333333333334
ARQT,75.68,71.84,66.92,71.48,2.0412541254125416
ARRY,68.01,68.68,60.0,65.56,-0.6277777777777778
ARTL,56.38,63.47,60.6,60.15,-0.17931034482758623
ARTNA,62.88,58.84,59.19,60.3,-0.10805402701350676
ARVN,48.71,72.04,69.29,63.35,0.7696335078534031
ARW,53.61,61.35,70.25,61.74,0.2044566761363635
ARWR,67.39,68.44,60.76,65.53,-0.17357001972386596
ARR,55.9,59.49,57.14,57.51,0.2998712998712999
ASAI,63.18,70.29,65.14,66.2,-0.4267399267399268
ARTW,81.18,58.85,83.23,74.42,-0.16500000000000004
ASAN,71.21,61.55,63.11,65.29,-0.3597402597402598
ASB,57.79,67.44,60.83,62.02,0.39207317073170733
ASBA,60.67,72.03,70.31,67.67,0.2766066838046272
ASC,66.45,69.24,70.61,68.77,0.2625762195121953
ASGN,50.0,50.0,89.13,63.04,0.16508400292184078
ASH,52.48,54.98,64.3,57.25,0.14938684210526307
ASIX,51.38,62.45,70.38,61.4,0.06113843991567106
ASLE,53.22,64.94,72.17,63.44,-0.6607603092783505
ASM,68.06,76.11,68.99,71.05,1.6920282542885974
ASMB,52.71,63.52,60.56,58.93,0.4595238095238096
ASML,66.84,71.28,66.59,68.24,0.2248141153250642
ASND,98.64,80.77,82.43,87.28,0.4362766903914591
ASNS,62.98,71.07,55.76,63.27,0.180327868852459
ASO,80.62,73.9,72.74,75.75,0.19283569283569288
ASPI,71.91,67.87,66.79,68.86,3.1067961165048543
ASPN,72.66,61.14,62.56,65.45,2.1002785515320337
ASPS,65.3,69.02,67.16,67.16,-0.7224770642201835
ASR,62.25,63.84,64.67,63.59,0.3355128143941201
ASRT,64.77,65.37,55.41,61.85,-0.4955947136563877
ASRV,74.81,73.8,84.25,77.62,0.17039215686274525
ASST,74.88,66.98,71.72,71.19,-0.375
ASTC,60.11,59.8,54.19,58.03,-0.11291615454496871
ASTE,60.9,65.89,58.72,61.84,-0.23935423490875066
ASTH,86.29,88.61,79.89,84.93,0.909549322407816
ASTI,87.49,69.84,55.5,70.94,-0.9735533980582524
ASTL,73.51,81.51,65.49,73.5,0.5349544072948328
ASTLW,73.51,81.51,65.49,73.5,0.75
ASTS,57.19,68.95,59.9,62.01,8.183277591973242
ASUR,75.54,76.94,66.88,73.12,0.091715976331361
ASX,58.95,63.41,63.25,61.87,0.34779792746113986
ASYS,54.14,61.28,56.52,57.31,-0.25760563380281687
ATAI,81.17,70.42,72.24,74.61,-0.019379844961240414
ATAT,61.64,61.75,64.43,62.61,0.48387978142076504
ATCOL,80.59,72.32,78.93,77.28,0.05977108944467995
ATEC,57.9,67.21,57.38,60.83,-0.5185654008438818
ATEK,62.33,68.77,66.64,65.91,0.08063021316033374
ATEN,58.37,61.64,63.57,61.19,0.3204320432043205
ATER,58.95,63.1,65.23,62.43,-0.18131868131868134
ATEX,53.66,60.85,44.78,53.1,0.08492366412213734
ATGE,57.5,64.14,63.13,61.59,0.6817134960847534
ATHA,59.11,61.78,62.34,61.08,-0.7104430379746836
ATHE,55.51,64.18,62.98,60.89,-0.48760330578512395
ATHM,61.32,62.13,62.71,62.05,0.10756457564575642
ATI,66.0,61.08,70.05,65.71,0.7429355281207132
ATIF,62.35,60.73,60.28,61.12,-0.2975206611570248
ATIP,87.45,75.01,68.42,76.96,-0.1552197802197802
ATKR,82.31,72.71,69.84,74.95,-0.3145311049210771
ATLC,57.96,67.43,65.25,63.55,0.2552542372881356
ATLCL,57.96,67.43,65.25,63.55,0.10041647385469699
ATLCP,57.96,67.43,65.25,63.55,0.11111111111111108
